ID,condition,genre,prime_order,probe,wm,wm_response,confidence,question_n,question,rating,open_text,final_eval,knew_piece,sex,age
128,baseline,rock,1,RCYMGWBS,1,RCYWGBMS,4,Interpretation,Wie sehr gefiel Ihnen die Interpretation insgesamt? ,7,,NA,7,1,28
128,baseline,rock,1,RCYMGWBS,1,RCYWGBMS,4,Timing/Rhythm,Wie sehr mochten Sie das Timing und den Rhythmus der Performance?,6,,NA,7,1,28
128,baseline,rock,1,RCYMGWBS,1,RCYWGBMS,4,Tone Quality,Wie sehr gefiel Ihnen die Tonqualität der Performance? ,6,,NA,7,1,28
128,baseline,rock,1,RCYMGWBS,1,RCYWGBMS,4,Expressiveness,Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ,6,,NA,7,1,28
128,baseline,rock,1,RCYMGWBS,1,RCYWGBMS,4,NA,"Bitte schreiben Sie alles auf, was Ihnen einfällt, um die Performance zu beschreiben. (Stimmung, Klang usw.)",NA,"Fast immer sehr sauber. Typischer Beatles-Sound. Gitarre am Ende schön im Vordergrund, während Gesang langsam zurückgeht. Fröhliche Stimmung",NA,7,1,28
128,baseline,rock,1,RCYMGWBS,1,RCYWGBMS,4,NA,"Bitte beschreiben Sie so ausführlich wie möglich, was Ihnen an der Performance gefallen hat oder was nicht.",NA,"Das Zusammenspiel der Musiker. Die Stimmfarbe des Sängers. Der letzte Akkord. Klangfarbe der Gitarre. Harmonik, die die einfache, aber schöne Melodie gut untermauert und für schöne Abwechslung sorgt.",NA,7,1,28
128,high,rock,1,GDRXBZYH,1,GDRZHYB,3,Interpretation,Wie sehr gefiel Ihnen die Interpretation insgesamt? ,7,,NA,7,1,28
128,high,rock,1,GDRXBZYH,1,GDRZHYB,3,Timing/Rhythm,Wie sehr mochten Sie das Timing und den Rhythmus der Performance?,6,,NA,7,1,28
128,high,rock,1,GDRXBZYH,1,GDRZHYB,3,Tone Quality,Wie sehr gefiel Ihnen die Tonqualität der Performance? ,6,,NA,7,1,28
128,high,rock,1,GDRXBZYH,1,GDRZHYB,3,Expressiveness,Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ,6,,NA,7,1,28
128,high,rock,1,GDRXBZYH,1,GDRZHYB,3,NA,"Bitte schreiben Sie alles auf, was Ihnen einfällt, um die Performance zu beschreiben. (Stimmung, Klang usw.)",NA,Die Performance gefällt mir genausogut wie die vorherige. Schöner Beatles-Klang. Positive Stimmung. Coole Harmonik,NA,7,1,28
128,high,rock,1,GDRXBZYH,1,GDRZHYB,3,NA,"Bitte beschreiben Sie so ausführlich wie möglich, was Ihnen an der Performance gefallen hat oder was nicht.",NA,Genauso wie bei der vorherigen Aufführung.,NA,7,1,28
128,low,rock,1,QNVFYBLT,1,QNVFYBLT,5,Interpretation,Wie sehr gefiel Ihnen die Interpretation insgesamt? ,7,,NA,7,1,28
128,low,rock,1,QNVFYBLT,1,QNVFYBLT,5,Timing/Rhythm,Wie sehr mochten Sie das Timing und den Rhythmus der Performance?,6,,NA,7,1,28
128,low,rock,1,QNVFYBLT,1,QNVFYBLT,5,Tone Quality,Wie sehr gefiel Ihnen die Tonqualität der Performance? ,6,,NA,7,1,28
128,low,rock,1,QNVFYBLT,1,QNVFYBLT,5,Expressiveness,Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ,6,,NA,7,1,28
