play_exit.keys,play_exit.rt,ratings_slider.response,ratings_slider.rt,ratings_loop.thisRepN,ratings_loop.thisTrialN,ratings_loop.thisN,ratings_loop.thisIndex,ratings_loop.ran,questions,participant,EXPRA code (only for EXPRA students),date,expName,psychopyVersion,OS,frameRate,open_text_response.text,open_text_loop.thisRepN,open_text_loop.thisTrialN,open_text_loop.thisN,open_text_loop.thisIndex,open_text_loop.ran,genre_trials.thisRepN,genre_trials.thisTrialN,genre_trials.thisN,genre_trials.thisIndex,genre_trials.ran,genre_trials.order,prime_text,auditory_stim,condition,genre,order,probe,eval_slider.response,eval_slider.rt,final_eval_loop.thisRepN,final_eval_loop.thisTrialN,final_eval_loop.thisN,final_eval_loop.thisIndex,final_eval_loop.ran,knew_slider.response,knew_slider.rt,genre_block.thisRepN,genre_block.thisTrialN,genre_block.thisN,genre_block.thisIndex,genre_block.ran
space,44.581,6,42.778,0,0,0,0,1,Wie sehr gefiel Ihnen die Interpretation insgesamt? ,3493,XXXXX,2021-12-09_15h31.00.529,rep_pres_illusion,2021.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,3.365,0,1,1,1,1,Wie sehr mochten Sie das Timing und den Rhythmus der Performance?,3493,XXXXX,2021-12-09_15h31.00.529,rep_pres_illusion,2021.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,2.885,0,2,2,2,1,Wie sehr gefiel Ihnen die Tonqualität der Performance? ,3493,XXXXX,2021-12-09_15h31.00.529,rep_pres_illusion,2021.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,2.163,0,3,3,3,1,Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ,3493,XXXXX,2021-12-09_15h31.00.529,rep_pres_illusion,2021.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Bitte schreiben Sie alles auf, was Ihnen einfällt, um die Performance zu beschreiben. (Stimmung, Klang usw.)",3493,XXXXX,2021-12-09_15h31.00.529,rep_pres_illusion,2021.2.3,Win32,59.95203837,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Bitte beschreiben Sie so ausführlich wie möglich, was Ihnen an der Performance gefallen hat oder was nicht.",3493,XXXXX,2021-12-09_15h31.00.529,rep_pres_illusion,2021.2.3,Win32,59.95203837,,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,3493,XXXXX,2021-12-09_15h31.00.529,rep_pres_illusion,2021.2.3,Win32,59.95203837,,,,,,,0,0,0,0,1,1,"Für diese Aufnahme sind keine Informationen verfügbar. 
Bitte warten. Die Aufnahme wird kurzzeitig abgespielt.",bruckner_excerpt.wav,baseline,classical,1,GTVXCRHS,,,,,,,,,,,,,,
space,192.723,6,2.9,0,0,0,0,1,Wie sehr gefiel Ihnen die Interpretation insgesamt? ,3493,XXXXX,2021-12-09_15h31.00.529,rep_pres_illusion,2021.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,9.357,0,1,1,1,1,Wie sehr mochten Sie das Timing und den Rhythmus der Performance?,3493,XXXXX,2021-12-09_15h31.00.529,rep_pres_illusion,2021.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,2.494,0,2,2,2,1,Wie sehr gefiel Ihnen die Tonqualität der Performance? ,3493,XXXXX,2021-12-09_15h31.00.529,rep_pres_illusion,2021.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,1.431,0,3,3,3,1,Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ,3493,XXXXX,2021-12-09_15h31.00.529,rep_pres_illusion,2021.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Bitte schreiben Sie alles auf, was Ihnen einfällt, um die Performance zu beschreiben. (Stimmung, Klang usw.)",3493,XXXXX,2021-12-09_15h31.00.529,rep_pres_illusion,2021.2.3,Win32,59.95203837,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Bitte beschreiben Sie so ausführlich wie möglich, was Ihnen an der Performance gefallen hat oder was nicht.",3493,XXXXX,2021-12-09_15h31.00.529,rep_pres_illusion,2021.2.3,Win32,59.95203837,,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,3493,XXXXX,2021-12-09_15h31.00.529,rep_pres_illusion,2021.2.3,Win32,59.95203837,,,,,,,0,1,1,1,1,1,"Claudio Abbado ist einer der größten Dirigenten des 20. Jahrhunderts. Er war Chefdirigent der Berliner Philharmoniker und des Londoner Symphonieorchesters, eines der besten Ensembles der Welt. Claudios Karriere könnte erfolgreicher nicht sein. Er gewann den Internationalen Wettbewerb für Komponisten und einen Grammy Award in der Kategorie Best Small Ensemble Performance. Außerdem benannte die Orchesterakademie der Berliner Philharmoniker den Claudio Abbado Kompositionspreis zu seinen Ehren. 2004 dirigierte Abbado die Berliner Philharmoniker zu Bruckners Symphonie No. 4 in einer Reihe von aufgezeichneten Live-Konzerten. Die daraus resultierende CD gewann die Auszeichnung als beste Orchesteraufnahme des Jahres bei den Gramophone Awards.

Quelle: https://www.wikipedia.org/wiki/Claudio_Abbado",bruckner_excerpt.wav,high,classical,1,HZSCMJPR,,,,,,,,,,,,,,
space,149.287,6,2.165,0,0,0,0,1,Wie sehr gefiel Ihnen die Interpretation insgesamt? ,3493,XXXXX,2021-12-09_15h31.00.529,rep_pres_illusion,2021.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,1.267,0,1,1,1,1,Wie sehr mochten Sie das Timing und den Rhythmus der Performance?,3493,XXXXX,2021-12-09_15h31.00.529,rep_pres_illusion,2021.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,1.23,0,2,2,2,1,Wie sehr gefiel Ihnen die Tonqualität der Performance? ,3493,XXXXX,2021-12-09_15h31.00.529,rep_pres_illusion,2021.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,1.381,0,3,3,3,1,Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ,3493,XXXXX,2021-12-09_15h31.00.529,rep_pres_illusion,2021.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Bitte schreiben Sie alles auf, was Ihnen einfällt, um die Performance zu beschreiben. (Stimmung, Klang usw.)",3493,XXXXX,2021-12-09_15h31.00.529,rep_pres_illusion,2021.2.3,Win32,59.95203837,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
