play_exit.keys,play_exit.rt,ratings_slider.response,ratings_slider.rt,ratings_loop.thisRepN,ratings_loop.thisTrialN,ratings_loop.thisN,ratings_loop.thisIndex,ratings_loop.ran,questions,participant,EXPRA code (only for EXPRA students),date,expName,psychopyVersion,OS,frameRate,open_text_response.text,open_text_loop.thisRepN,open_text_loop.thisTrialN,open_text_loop.thisN,open_text_loop.thisIndex,open_text_loop.ran,genre_trials.thisRepN,genre_trials.thisTrialN,genre_trials.thisN,genre_trials.thisIndex,genre_trials.ran,genre_trials.order,prime_text,auditory_stim,condition,genre,order,probe,eval_slider.response,eval_slider.rt,final_eval_loop.thisRepN,final_eval_loop.thisTrialN,final_eval_loop.thisN,final_eval_loop.thisIndex,final_eval_loop.ran,knew_slider.response,knew_slider.rt,genre_block.thisRepN,genre_block.thisTrialN,genre_block.thisN,genre_block.thisIndex,genre_block.ran
space,187.6369,6,19.7604,0,0,0,0,1,Wie sehr gefiel Ihnen die Interpretation insgesamt? ,4081,XXXXX,2021-12-09_15h31.10.748,rep_pres_illusion,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,5.4481,0,1,1,1,1,Wie sehr mochten Sie das Timing und den Rhythmus der Performance?,4081,XXXXX,2021-12-09_15h31.10.748,rep_pres_illusion,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,4.1491,0,2,2,2,1,Wie sehr gefiel Ihnen die Tonqualität der Performance? ,4081,XXXXX,2021-12-09_15h31.10.748,rep_pres_illusion,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,1.9757,0,3,3,3,1,Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ,4081,XXXXX,2021-12-09_15h31.10.748,rep_pres_illusion,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Bitte schreiben Sie alles auf, was Ihnen einfällt, um die Performance zu beschreiben. (Stimmung, Klang usw.)",4081,XXXXX,2021-12-09_15h31.10.748,rep_pres_illusion,2021.2.3,MacIntel,60.0024001,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Bitte beschreiben Sie so ausführlich wie möglich, was Ihnen an der Performance gefallen hat oder was nicht.",4081,XXXXX,2021-12-09_15h31.10.748,rep_pres_illusion,2021.2.3,MacIntel,60.0024001,Sehr gleichmäßige Performance,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,4081,XXXXX,2021-12-09_15h31.10.748,rep_pres_illusion,2021.2.3,MacIntel,60.0024001,,,,,,,0,0,0,0,1,2,"Für diese Aufnahme sind keine Informationen verfügbar. 
Bitte warten. Die Aufnahme wird kurzzeitig abgespielt.",bruckner_excerpt.wav,baseline,classical,2,TBHNLXMZ,,,,,,,,,,,,,,
space,35.3379,5,31.8045,0,0,0,0,1,Wie sehr gefiel Ihnen die Interpretation insgesamt? ,4081,XXXXX,2021-12-09_15h31.10.748,rep_pres_illusion,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,3.1254,0,1,1,1,1,Wie sehr mochten Sie das Timing und den Rhythmus der Performance?,4081,XXXXX,2021-12-09_15h31.10.748,rep_pres_illusion,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,1.4262,0,2,2,2,1,Wie sehr gefiel Ihnen die Tonqualität der Performance? ,4081,XXXXX,2021-12-09_15h31.10.748,rep_pres_illusion,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,2.3912,0,3,3,3,1,Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ,4081,XXXXX,2021-12-09_15h31.10.748,rep_pres_illusion,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Bitte schreiben Sie alles auf, was Ihnen einfällt, um die Performance zu beschreiben. (Stimmung, Klang usw.)",4081,XXXXX,2021-12-09_15h31.10.748,rep_pres_illusion,2021.2.3,MacIntel,60.0024001,Sehr eintönige Stimmung,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Bitte beschreiben Sie so ausführlich wie möglich, was Ihnen an der Performance gefallen hat oder was nicht.",4081,XXXXX,2021-12-09_15h31.10.748,rep_pres_illusion,2021.2.3,MacIntel,60.0024001,Das Orchester hat sich nicht sehr professionell angehört,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,4081,XXXXX,2021-12-09_15h31.10.748,rep_pres_illusion,2021.2.3,MacIntel,60.0024001,,,,,,,0,1,1,1,1,2,"Nach seinem Bachelorabschluss von der Royal Holloway University of London, setzt Kurt Schlichter seine Ausbildung als Dirigent in einem Master an dem Royal College of Music fort. Zu Beginn seines Studiums war es für Kurt sehr herausfordernd, eine breite Palette an klassischen Werken in Proben und Aufführungen zu dirigieren. Die Erfahrungen in seinem Studium konnten jedoch dazu beitragen, dass er sich positiv weiterentwickelte und als einer der besten seines Jahrgang den Abschluss machte.
Im Gespräch mit Kurt über seine Erfahrungen sagt er: ""Die Möglichkeiten am Royal College waren sehr abwechslungsreich und lohnend. Für mein Abschlussprojekt konnte ich eines meiner Lieblingsstücke von Bruckner dirigieren, was mir ermöglichte mich voll und ganz auf den komplexen Kompositionsstil dieses genialen Komponisten einzulassen.""

Quelle: http://www.k-schlichter-music.net",bruckner_excerpt.wav,low,classical,2,YQGNSXCL,,,,,,,,,,,,,,
space,23.5829,6,1.6639,0,0,0,0,1,Wie sehr gefiel Ihnen die Interpretation insgesamt? ,4081,XXXXX,2021-12-09_15h31.10.748,rep_pres_illusion,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,1.8086,0,1,1,1,1,Wie sehr mochten Sie das Timing und den Rhythmus der Performance?,4081,XXXXX,2021-12-09_15h31.10.748,rep_pres_illusion,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,0.9925,0,2,2,2,1,Wie sehr gefiel Ihnen die Tonqualität der Performance? ,4081,XXXXX,2021-12-09_15h31.10.748,rep_pres_illusion,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,1.3914,0,3,3,3,1,Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ,4081,XXXXX,2021-12-09_15h31.10.748,rep_pres_illusion,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Bitte schreiben Sie alles auf, was Ihnen einfällt, um die Performance zu beschreiben. (Stimmung, Klang usw.)",4081,XXXXX,2021-12-09_15h31.10.748,rep_pres_illusion,2021.2.3,MacIntel,60.0024001,Sehr ausgewogene Klänge,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Bitte beschreiben Sie so ausführlich wie möglich, was Ihnen an der Performance gefallen hat oder was nicht.",4081,XXXXX,2021-12-09_15h31.10.748,rep_pres_illusion,2021.2.3,MacIntel,60.0024001,Tolle Performance des Originalstücks,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
