play_exit.keys,play_exit.rt,ratings_slider.response,ratings_slider.rt,ratings_loop.thisRepN,ratings_loop.thisTrialN,ratings_loop.thisN,ratings_loop.thisIndex,ratings_loop.ran,questions,participant,EXPRA code (only for EXPRA students),date,expName,psychopyVersion,OS,frameRate,open_text_response.text,open_text_loop.thisRepN,open_text_loop.thisTrialN,open_text_loop.thisN,open_text_loop.thisIndex,open_text_loop.ran,genre_trials.thisRepN,genre_trials.thisTrialN,genre_trials.thisN,genre_trials.thisIndex,genre_trials.ran,genre_trials.order,prime_text,auditory_stim,condition,genre,order,probe,eval_slider.response,eval_slider.rt,final_eval_loop.thisRepN,final_eval_loop.thisTrialN,final_eval_loop.thisN,final_eval_loop.thisIndex,final_eval_loop.ran,knew_slider.response,knew_slider.rt,genre_block.thisRepN,genre_block.thisTrialN,genre_block.thisN,genre_block.thisIndex,genre_block.ran
space,172.586,7,4.801,0,0,0,0,1,Wie sehr gefiel Ihnen die Interpretation insgesamt? ,5227,XXXXX,2021-12-09_20h56.04.581,rep_pres_illusion,2021.2.3,iPad,90.90909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,4.731,0,1,1,1,1,Wie sehr mochten Sie das Timing und den Rhythmus der Performance?,5227,XXXXX,2021-12-09_20h56.04.581,rep_pres_illusion,2021.2.3,iPad,90.90909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,4.612,0,2,2,2,1,Wie sehr gefiel Ihnen die Tonqualität der Performance? ,5227,XXXXX,2021-12-09_20h56.04.581,rep_pres_illusion,2021.2.3,iPad,90.90909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,3.547,0,3,3,3,1,Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ,5227,XXXXX,2021-12-09_20h56.04.581,rep_pres_illusion,2021.2.3,iPad,90.90909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Bitte schreiben Sie alles auf, was Ihnen einfällt, um die Performance zu beschreiben. (Stimmung, Klang usw.)",5227,XXXXX,2021-12-09_20h56.04.581,rep_pres_illusion,2021.2.3,iPad,90.90909091,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Bitte beschreiben Sie so ausführlich wie möglich, was Ihnen an der Performance gefallen hat oder was nicht.",5227,XXXXX,2021-12-09_20h56.04.581,rep_pres_illusion,2021.2.3,iPad,90.90909091,"Am Anfang wurde eine Spannung aufgebaut. Diese hat sich durch das gesamte Stück gezogen und sich am Ende entladen. Für mich wirkte dies wie das Final von bspw einem Ballettstück. Während des Stückes habe ich mich auf die einzelnen Instrumente konzentriert. Besonders das Blasorchester (Trompeten) hatten eine sehr starke Performance. Dieses in Kombination mit der Pauke hat eine sehr starke Dynamik entwickelt. Das Streichorchester empfand ich als sehr angenehm. Das Stück hat bei mir das Bedürfnis aufgeworfen, wieder in einem Orchester zu musizieren oder in die Oper zu gehen und live die Musik wahrzunehmen. Alles in allem finde ich diese Aufnahme sehr gelungen und ich habe mich sehr daran erfreut.",0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,5227,XXXXX,2021-12-09_20h56.04.581,rep_pres_illusion,2021.2.3,iPad,90.90909091,,,,,,,0,0,0,0,1,2,"Für diese Aufnahme sind keine Informationen verfügbar. 
Bitte warten. Die Aufnahme wird kurzzeitig abgespielt.",bruckner_excerpt.wav,baseline,classical,2,TBHNLXMZ,,,,,,,,,,,,,,
space,168.494,7,3.311,0,0,0,0,1,Wie sehr gefiel Ihnen die Interpretation insgesamt? ,5227,XXXXX,2021-12-09_20h56.04.581,rep_pres_illusion,2021.2.3,iPad,90.90909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,5.725,0,1,1,1,1,Wie sehr mochten Sie das Timing und den Rhythmus der Performance?,5227,XXXXX,2021-12-09_20h56.04.581,rep_pres_illusion,2021.2.3,iPad,90.90909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,2.829,0,2,2,2,1,Wie sehr gefiel Ihnen die Tonqualität der Performance? ,5227,XXXXX,2021-12-09_20h56.04.581,rep_pres_illusion,2021.2.3,iPad,90.90909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,1.962,0,3,3,3,1,Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ,5227,XXXXX,2021-12-09_20h56.04.581,rep_pres_illusion,2021.2.3,iPad,90.90909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Bitte schreiben Sie alles auf, was Ihnen einfällt, um die Performance zu beschreiben. (Stimmung, Klang usw.)",5227,XXXXX,2021-12-09_20h56.04.581,rep_pres_illusion,2021.2.3,iPad,90.90909091,"Genauso, wie bei Aufnahme 1 hatte ich das Empfinden, das sich am Anfang eine Spannung aufbaut, die am Ende sich dann entlädt. Bei der Phase, bei der es zwischenzeitlich noch einmal ruhig wird, habe ich sogar Gänsehaut bekommen. Die Trompeten und die Pauke haben eine sehr starke Dynamik entwickelt und konnten die Stimmung stark beeinflussen. Besonders toll fand ich, wie die verschiedenen Instrumente Eins ergeben haben. ",0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
